job_id,job_title,company,location,department,job_level,required_experience_years,required_skills,preferred_certificates,date_posted,job_url,job_description
J0001,Principal Full Stack Developer,Techsol Egypt Group,Mansoura,Software,Junior,2,"Terraform, Node.Js, Firewalls, Aws",Google Professional Data Engineer,2025-09-23,https//example.com/jobs/1,"Looking for a Junior Full Stack Developer to join TechSol Egypt. Must have experience in Terraform, Node.js, Firewalls. Preferred certification Google Professional Data Engineer."
J0002,Junior Software Engineer,Nilesoft Inc,Hurghada,Software,Junior,3,"Docker, Terraform, Spark, Aws, Elasticsearch, Linux, Python, React, Sql",Huawei HCIA,2025-11-04,https//example.com/jobs/2,"Looking for a Junior Software Engineer to join NileSoft. Must have experience in Docker, Terraform, Spark. Preferred certification Huawei HCIA."
J0003,Lead Database Administrator,Alex Tech Ltd,Mansoura,Data,Junior,5,"Node.Js, Pandas, Django",Cisco CCNP,2025-11-14,https//example.com/jobs/3,"Looking for a Junior Database Administrator to join ALEX Tech. Must have experience in Node.js, Pandas, Django. Preferred certification Cisco CCNP."
J0004,Principal Devops Engineer,Deltabyte Egypt,Mansoura,Cloud/DevOps,Senior,12,"Flask, Pandas, Node.Js, Tcp/Ip, Computer Vision, Docker, React, Aws, Python",AWS Certified Solutions Architect,2025-11-02,https//example.com/jobs/4,"Looking for a Senior DevOps Engineer to join DeltaByte. Must have experience in Flask, Pandas, Node.js. Preferred certification AWS Certified Solutions Architect."
J0005,Lead Ai Researcher,Cloudworks Egypt Group,Mansoura,AI,Lead,8,"Pandas, Linux, Ci/Cd, Kubernetes",Cisco CCNP,2025-10-01,https//example.com/jobs/5,"Looking for a Lead AI Researcher to join CloudWorks Egypt. Must have experience in Pandas, Linux, CI/CD. Preferred certification Cisco CCNP."
J0006,Senior Devops Engineer,Alex Tech Solutions,Hurghada,Cloud/DevOps,Mid,1,"Sql, Terraform, Azure, Firewalls, Ci/Cd, Pandas, Linux, Python, React",Not Specified,2025-10-05,https//example.com/jobs/6,"Looking for a Mid DevOps Engineer to join ALEX Tech. Must have experience in SQL, Terraform, Azure. Preferred certification not required."
J0007,Mid-Level Cloud Engineer,Cloudworks Egypt Inc,Cairo,Cloud/DevOps,Junior,1,"Numpy, Linux, React, Kubernetes, Iso27001",Cisco CCNP,2025-10-04,https//example.com/jobs/7,"Looking for a Junior Cloud Engineer to join CloudWorks Egypt. Must have experience in NumPy, Linux, React. Preferred certification Cisco CCNP."
J0008,Mid-Level Product Manager,Giza Networks Group,Suez,Software,Junior,2,"Hipaa, Terraform, Gcp, Firewalls, React",Google Professional Data Engineer,2025-11-17,https//example.com/jobs/8,"Looking for a Junior Product Manager to join Giza Networks. Must have experience in HIPAA, Terraform, GCP. Preferred certification Google Professional Data Engineer."
J0009,Mid-Level Embedded Systems Engineer,Giza Networks Egypt,Tanta,Network,Junior,5,"Rest Apis, Node.Js, Javascript, Flask, Pytorch, Sql, Hadoop",AWS Certified Developer,2025-10-15,https//example.com/jobs/9,"Looking for a Junior Embedded Systems Engineer to join Giza Networks. Must have experience in REST APIs, Node.js, JavaScript. Preferred certification AWS Certified Developer."
J0010,Mid-Level Cybersecurity Analyst,Deltabyte Ltd,Suez,Other,Mid,3,"Terraform, Linux, 5G, Docker, Kubernetes, Tensorflow",AWS Certified Developer,2025-10-09,https//example.com/jobs/10,"Looking for a Mid Cybersecurity Analyst to join DeltaByte. Must have experience in Terraform, Linux, 5G. Preferred certification AWS Certified Developer."
J0011,Lead Database Administrator,Cairocloud Solutions,Suez,Data,Intern,1,"Microservices, Nosql, Django, Routing, Docker",Huawei HCIA,2025-10-14,https//example.com/jobs/11,"Looking for a Intern Database Administrator to join CairoCloud. Must have experience in Microservices, NoSQL, Django. Preferred certification Huawei HCIA."
J0012,Junior Data Scientist,Pyramid Solutions Group,Cairo,AI,Mid,10,"Flask, Computer Vision, Routing, Python, Docker",Huawei HCIP,2025-09-24,https//example.com/jobs/12,"Looking for a Mid Data Scientist to join Pyramid Solutions. Must have experience in Flask, Computer Vision, Routing. Preferred certification Huawei HCIP."
J0013,Lead Ai Researcher,Deltabyte Egypt,Giza,AI,Junior,10,"Terraform, Tensorflow, Git, Node.Js",Not Specified,2025-10-01,https//example.com/jobs/13,"Looking for a Junior AI Researcher to join DeltaByte. Must have experience in Terraform, TensorFlow, Git. Preferred certification not required."
