StudentID,GPA,major_avg,AttendancePercent,FailedCourses,num_skills,num_courses_completed,project_count,internship_count,num_missing_skills,top_missing_priority,emb_pca_0,emb_pca_1,emb_pca_2,emb_pca_3,emb_pca_4,emb_pca_5,emb_pca_6,emb_pca_7,emb_pca_8,emb_pca_9,emb_pca_10,emb_pca_11,emb_pca_12,emb_pca_13,emb_pca_14,emb_pca_15,emb_pca_16,emb_pca_17,emb_pca_18,emb_pca_19,emb_pca_20,emb_pca_21,emb_pca_22,emb_pca_23,emb_pca_24,emb_pca_25,emb_pca_26,emb_pca_27,emb_pca_28,emb_pca_29,emb_pca_30,emb_pca_31
S0001,3.56,3.56,100,1,1,3,1,1,5,2.0,-0.25161082,0.06525101,-0.013761384,-0.035354294,0.20297855,-0.07101875,-0.12197267,-0.089209646,-0.06098714,-0.034490403,-0.049295988,0.030030621,-0.04816825,0.016760845,0.05330086,0.05327688,0.022138672,0.026989335,0.002574299,0.0313598,0.03696069,0.018001588,0.023472918,-0.051683877,0.06854347,0.06645558,-0.036081795,0.016876379,-0.043769307,-0.003850216,0.027912164,-0.05070633
S0002,4.0,4.0,95,0,1,1,1,1,5,2.0,0.082168385,0.28779763,0.03392956,-0.16914363,-0.16051522,-0.03650973,-0.09833252,-0.051509015,0.1034896,0.05055872,-0.13831288,-0.056957368,0.036001045,-0.086636126,-0.024542267,-0.09185101,-0.058590144,-0.07633094,-0.0422921,-0.028353501,0.022923969,0.0483889,0.04285501,-0.032717675,-0.011289317,0.027877953,0.14256701,0.037279487,0.044928577,0.02529793,0.01071001,0.08025579
S0003,2.8,2.8,74,2,1,1,1,1,5,2.0,-0.16755047,0.17284364,0.15138333,-0.017914504,0.10011519,0.24909796,-0.038772974,0.113564625,-0.094881915,0.13536394,-0.044193838,0.0002626884,0.15938911,0.0051803356,-0.052984264,-0.08470442,0.008981012,0.08465075,0.0018881522,0.007104367,0.01777819,0.008518136,0.012975062,-0.043792214,-0.018514564,0.018731479,0.011481289,0.0043493933,-0.0039688307,-0.022881664,-0.038755007,-0.0064195413
S0004,3.43,3.43,98,2,2,1,1,1,5,2.0,-0.08115854,-0.20771007,-0.2966129,-0.09863175,-0.08544951,0.13756298,-0.0634906,-0.09521465,0.06201614,-0.06451649,-0.06366302,0.07455903,0.03779118,0.026948188,0.051628932,0.069951266,0.029476866,0.06010246,-0.024245892,0.044309333,0.04957621,-0.015320298,0.011870794,0.023862397,0.069204755,0.0046350015,-0.053279895,-0.0031686833,0.014751733,0.004792552,0.003096024,-0.06752676
S0005,2.93,2.93,86,0,1,1,1,1,5,2.0,-0.31592506,0.06524729,-0.03940872,0.22840719,0.20535406,-0.001440797,-0.026939917,-0.023256375,-0.052550297,-0.02349895,-0.07441243,0.03541036,0.019977516,0.06904977,0.08492176,0.0046868525,-0.02619088,-0.0096244775,0.034135707,-0.023564065,0.0014309788,-0.05398828,0.018062713,0.013882785,-0.057839498,0.023756245,0.061843164,0.028891383,0.020484665,-0.041265246,-0.01656806,-0.041558627
S0006,3.59,3.59,94,1,1,1,1,1,4,2.5,0.18185717,0.25209472,-0.021653663,-0.10067345,0.13752192,0.0038887165,0.12940954,0.006276656,-0.074323796,-0.028760655,0.045396898,-0.09427967,-0.040964242,-0.029404502,0.06241685,0.043065324,-0.034142334,-0.02825491,-0.01639762,-0.01645633,0.028801674,0.042169217,-0.07868104,0.008750713,-0.03828869,-0.021249915,-0.05375814,0.0050881393,-0.02436001,-0.020110354,0.036930874,0.030203572
S0007,3.46,3.46,80,3,1,1,1,1,4,2.5,0.08408472,-0.13856211,0.31314674,-0.14971267,-0.108527005,-0.041580275,-0.04879615,-0.07266494,0.0042146486,-0.11507671,0.11519266,-0.14801267,0.0102639,0.028253615,-0.021975735,0.0038829914,0.043155182,-0.058233533,0.04447014,-0.041271158,-0.044675376,-0.020451263,-0.016841128,0.042213615,0.017313858,-0.04957991,-0.0074973158,0.050782464,0.004518648,-0.0343466,-0.023508929,-0.013958605
S0008,3.81,3.81,76,1,2,1,1,1,5,2.0,-0.19513807,0.097754665,-0.28283545,-0.20847197,-0.047639422,0.22613075,0.039658852,-0.031787664,-0.012899966,0.11170672,-0.048930425,-0.028221397,0.03116576,-0.06610302,-0.040273298,0.08714234,0.026024403,0.014846779,-0.11069332,0.019002106,-0.06433579,0.014638582,0.0133149745,0.011837468,0.027060954,-0.0021753788,-0.044835687,0.050886504,0.017845137,-0.029831825,-0.042812362,-0.029552119
S0009,3.34,3.34,83,1,1,1,1,1,5,2.0,-0.35138652,0.13662428,0.11645428,-0.18546595,0.07056125,-0.0013014476,-0.008436801,0.13671942,0.086481415,0.022453297,0.0064493376,0.029166728,-0.04039565,-0.045959357,-0.058842387,-0.052956086,-0.021849675,-0.05865684,0.0018655652,0.045296587,-0.026412575,0.020380601,-0.027514223,0.022423875,0.028809752,-0.028872658,0.070776016,0.02147657,0.03872061,0.0075934622,0.045902733,-0.027060285
S0010,4.0,4.0,80,1,1,1,1,1,5,2.0,0.25029105,0.17291065,-0.0113932965,0.1465833,-0.115924254,0.06759341,-0.1859319,-0.038930673,0.0412181,-0.058120802,0.044962425,0.05639248,-0.059140623,0.0032195188,0.013202075,-0.028047731,0.02244232,0.036098924,0.04494545,-0.0044282884,-0.036975518,0.011039018,0.05550598,0.03180709,0.010306256,-0.032227684,0.00041518535,0.03334947,0.002828062,0.012073301,0.014658555,-0.009606409
