CourseProvider,CourseTitle,Description,SkillsGained,Department,Level,Track
Huawei,HCIA-Cloud Computing - Cohort 1 (Part 1),Intro to Huawei Cloud Computing,"Cloud, Virtualization, Python",Network,Beginner,Cloud
Huawei,HCIP-Datacom - Cohort 2 (Part 1),Professional routing & switching,"Routing, Switching, Python",Network,Intermediate,Networking
Huawei,Big Data Developer - Cohort 3 (Part 3),Big Data development with Huawei,"Big Data, Etl, Python, Docker",IS,Advanced,Data
Huawei,AI Talent Program - Cohort 4 (Part 2),Machine & Deep Learning,"Machine Learning, Deep Learning, Python, Docker",AI,Beginner,ML
AWS,AWS Developer Path - Cohort 5 (Part 2),Full stack AWS application development,"Python, Web, Cloud, Docker",CS,Intermediate,DevOps
AWS,AWS ML Specialty - Cohort 6 (Part 2),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker, Aws",AI,Advanced,ML
AWS,AWS Data Analytics - Cohort 7 (Part 2),Data analysis at scale on AWS,"Data Analysis, Bi, Aws, Docker",IS,Beginner,Data
AWS,AWS Cloud Architecture Path - Cohort 8 (Part 1),Design and operate secure cloud infrastructure,"Architecture, Cloud Security, Machine Learning",Network,Intermediate,Cloud
Huawei,HCIA-Cloud Computing - Cohort 9 (Part 3),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage, Kubernetes",Network,Advanced,Cloud
Huawei,HCIP-Cloud Computing - Cohort 10 (Part 2),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery",Network,Beginner,Cloud
Huawei,HCIA-Datacom - Cohort 11 (Part 2),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf",Network,Intermediate,Networking
Huawei,HCIP-Datacom - Cohort 12 (Part 2),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting, Docker, Kubernetes",Network,Advanced,Networking
Huawei,HCIA-AI - Cohort 13 (Part 3),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing, Aws",AI,Beginner,ML
Huawei,HCIP-AI-Developer - Cohort 14 (Part 2),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore, React",AI,Intermediate,ML
Huawei,Huawei Big Data Developer - Cohort 15 (Part 1),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing",IS,Advanced,Data
Huawei,Huawei Data Warehouse and BI - Cohort 1 (Part 2),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql",IS,Beginner,Data
Huawei,Huawei Cloud DevOps - Cohort 2 (Part 2),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci, React, Python",CS,Intermediate,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 3 (Part 1),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices",CS,Advanced,Software
AWS,AWS Academy Cloud Foundations - Cohort 4 (Part 1),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Aws, Machine Learning",Network,Beginner,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 5 (Part 1),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security",Network,Intermediate,Cloud
AWS,AWS Academy Data Engineering - Cohort 6 (Part 3),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines",IS,Advanced,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 7 (Part 1),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics, React",AI,Beginner,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 8 (Part 1),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops, Python",AI,Intermediate,ML
AWS,AWS Academy Cloud Security - Cohort 9 (Part 3),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance, React",Network,Advanced,Security
